# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
17674,376817,0,1,0,0,0,0,74,0,0,0,0,0,0,16,1
17695,1019159,18,0,17,0,0,2,0,0,1,0,0,3,0,1,1
17696,1046138,6,145,3,75,0,25,0,5,0,5,0,3,0,1,1
18019,1097383,147,3,62,0,22,11,0,6,0,6,0,0,1,1,1
18250,528170,6,0,49,4,0,0,16,0,0,0,4,0,0,1,1
18962,234698,13,0,0,0,10,0,0,0,0,4,0,0,0,1,1
21544,237997,0,0,24,0,0,0,9,0,0,0,1,0,0,1,1
21545,241303,0,0,24,0,0,0,9,0,0,0,1,0,0,1,1
26955,261906,1,0,4,1,0,0,0,0,0,0,0,0,0,1,1
24278,180434,11,21,1,0,2,0,6,0,0,1,0,2,0,2,1
20251,239926,0,0,52,0,0,0,3,0,0,0,2,0,0,1,1
20678,319299,62,2,0,0,0,0,16,8,1,0,0,0,0,2,1
21339,354123,8,0,19,3,0,0,4,0,0,0,2,0,0,1,1
21548,68795,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21552,72323,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
21553,68773,14,0,2,0,0,1,0,0,0,0,0,0,0,6,1
23532,68773,14,0,2,0,0,1,0,0,0,0,0,0,0,6,1
21549,78296,18,0,3,0,0,1,0,0,0,0,0,0,0,12,1
21550,76431,18,0,3,0,0,1,0,0,0,0,0,0,0,12,1
21554,76431,18,0,3,0,0,1,0,0,0,0,0,0,0,12,1
21551,87029,8,0,0,0,0,0,0,0,0,0,0,0,0,6,1
21696,268972,5,64,3,0,23,0,7,0,0,3,0,3,0,2,1
21697,80157,8,0,9,4,0,0,1,0,0,0,1,0,0,1,1
21698,61141,4,0,4,3,0,0,2,0,0,0,0,0,0,1,1
21699,86974,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
21956,392624,0,0,0,0,0,0,16,1,0,0,0,0,0,3,1
